Title,Company's Name,Location,Duration,Stipend
Go (Golang) Development,AppVersal,Noida,2 Months,"₹ 20,000 "
Python Development,Maxgen Technologies Private Limited,Pune,3 Months,"₹ 7,000 - 12,000 "
HR Analytics Instructor,Tutedude,Work from home,1 Month,"₹ 25,000 "
MLOps Instructor,Tutedude,Work from home,1 Month,"₹ 25,000 "
Search Engine Optimization (SEO),Puraskaar Foundation,Work from home,3 Months,Unpaid
Python Mentorship,Tutedude,Work from home,3 Months,"₹ 7,000 - 8,000 "
E-Commerce,HYPERTEXT MARKETING PRIVATE LIMITED,Delhi,6 Months,"₹ 5,000 - 7,000 "
Search Engine Optimization (SEO),School Of Core AI,Gurgaon,4 Months,"₹ 8,000 - 12,000 "
"Technical Content Marketing– AI Automation (n8n, Twitter & LinkedIn)",Kishore Ganth D,Work from home,6 Months,"₹ 7,000 "
Robotics Trainer,KlassWAY,Lucknow,6 Months,"₹ 8,000 - 10,000 "
AI Innovation,Main Marshals,Lucknow,6 Months,"₹ 8,000 - 10,000 "
Research (Overseas Education),"Association For Transparency, Governance & Public Grievances",Work from home,2 Months,Unpaid
Data Science,Bezt Labs,Work from home,3 Months,"₹ 10,000 - 11,000 "
Search Engine Optimization (SEO),Odyssey,Delhi,6 Months,"₹ 9,000 - 10,000 "
Strategic Relationship Intelligence & CRM Innovation Associate,Rudram Labs,Work from home,3 Months,"₹ 10,000 "
Quant System Developer,QuantGlobal,"Delhi, Ghaziabad, Greater Noida, Noida",6 Months,"₹ 15,000 - 20,000 "
Video Editing/Making,Whilter Studios,Gurgaon,6 Months,"₹ 15,000 - 20,000 "
Business Development (Sales),NoSupplements™,Work from home,1 Month,"₹ 15,000 - 30,000 "
Business Development (Sales),Amlytis,Thane,3 Months,"₹ 10,000 - 20,000 "
Python Development,OBLYTECH INDIA PRIVATE LIMITED,Work from home,6 Months,"₹ 7,000 "
Social Media & Content Marketing  (Female Only),Eazy Peace,Work from home,6 Months,"₹ 2,000 - 3,000 "
AI Feedback Automation & Platform Integration (Full Stack + NLP),Fountainhead Prep,Work from home,2 Months,"₹ 25,000 lump sum"
